Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,137.49256997333185,193.91934055374412,36.48024165646202,37604.71064079899,31.464113172925046,0.21205046858516208,110.28153421872128,0.16026898790864388,30,35,5
5,131.0153270705007,180.15168625900435,32.64530369184076,32454.63006196274,28.87687897182824,0.29059366016590615,104.95341401099444,0.13348301015608582,30,35,5
10,107.15163198683402,125.89769421436931,32.54982120848265,15850.229408494839,27.503907130103567,0.2170949345054206,103.56360785506172,0.11635970588936555,30,35,5
15,108.29545767319442,126.17107814895357,32.89722530321977,15919.14096126935,27.665799479135426,0.23295944174924932,101.31306653237408,0.11561349064841797,30,35,5
20,101.60210169941509,122.89993460816306,31.933820575503972,15104.393926690758,26.26133895434515,0.17204881339982914,100.77708026924267,0.11405327501988179,30,35,5
25,117.18583074482737,135.10230360260888,39.09651888083781,18252.632438731507,31.233979158924747,0.060816155759398915,117.35212421188646,0.14679367510567504,30,35,5
30,113.40990667559504,133.18485252071744,35.497155584965256,17738.204940965254,29.448918395699973,0.0712483937516114,99.36921695124005,0.1288280039560286,30,35,5
35,107.35444434747889,123.79494320771954,33.905207671339134,15325.187963802508,27.651931346159444,0.1444045648063531,91.11468495738308,0.11633069711966344,30,35,5
40,123.07458851182044,176.8581978207634,33.3810667212846,31278.822136408282,28.844147995014403,0.21654622469346463,90.37331967408409,0.131156644659454,30,35,5
45,142.96854515278162,221.0376984887025,33.93984995123763,48857.664153182544,30.705554391667267,0.17836099432210772,93.50807760468783,0.15569572963669934,30,35,5
50,147.33830033323792,222.53904205713394,34.77220475327943,49523.62523970683,31.382732093568517,0.17294606181386607,99.4146031559448,0.15483043413704808,30,35,5
55,168.53275896994774,242.03061376360907,1457.2426472928175,58578.81799878931,39.54138137484907,0.13072092402343682,121.43553440468992,1.0455353702117414,30,35,5
