Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,172.40480685312608,207.53155157778576,52.91557808985652,43069.344900283155,40.9906874227026,-0.3673873338335021,142.37622041302689,0.26367174404363874,30,25,2
2,100.24442278879538,150.41363375692836,31.01902832606635,22624.261219963377,25.242237826038977,-0.23354865189494212,61.40742461823032,0.12790411646435154,30,25,2
4,106.86938121039175,126.0797945543459,31.908448303576296,15896.11459486607,25.96064087045959,0.17692691148823647,94.89194112079912,0.1041431285968943,30,25,2
6,102.62708728231559,139.68745081977153,23.581311778005567,19512.583916526088,24.77163311992064,0.17829650919345086,61.54821061627794,0.10955769805330508,30,25,2
8,147.80904511852242,199.05140916951967,32.599477485806666,39621.46349237154,38.27519703725209,-0.6461034925773512,111.15830193821358,0.2920126950491959,30,25,2
10,141.54022552846712,188.42784576319661,32.06583729603077,35505.05305895901,37.15629067595934,-0.49151816868303944,89.69835327524493,0.2718014796917715,30,25,2
12,151.00671473530042,201.0418654468104,39.05824778654728,40417.83166233341,31.92982776555837,-0.8207996818255947,110.73041709400047,0.17187751196450346,30,25,2
14,139.08032954471756,172.73531874175714,40.065153817083356,29837.490340816435,32.4977452631707,-0.28678204722578715,118.94955086559213,0.1529084407483275,30,25,2
16,105.73682124665629,128.77950274647054,29.581205480533797,16584.16032762821,28.874050237773652,0.25398645883228055,94.45792982699913,0.13416310542012297,30,25,2
18,107.47359062265183,132.46673343130968,28.8179904110603,17547.43546596166,25.671540829487828,0.1774011982444732,78.65952743515925,0.09493810358428592,30,25,2
20,141.67822656194255,157.43656475373922,41.662399164616865,24786.27192145832,34.03188206621547,-0.21167765218195034,144.13766340748032,0.14426322848475093,30,25,2
22,120.66417553060295,136.89181486276436,36.9696087560481,18739.368976421352,30.759280647967906,0.030393510792955047,129.4654739191012,0.12442057076902105,30,25,2
24,140.13605810433475,191.51739553552082,38.51884629588359,36678.91279270913,29.959711143519602,-1.0276989225362625,106.96693707527339,0.14730630562678473,30,25,2
26,123.55973088702655,148.94219212425077,35.4814436774332,22183.776594777228,29.46299675839925,-0.34543493373637313,113.96123540391338,0.12509454313524748,30,25,2
28,145.0488961776294,160.9530274281749,43.30698826331648,25905.87703829482,36.00707754022613,-0.5876273612342888,122.49691770839607,0.15882310036462718,30,25,2
