Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,102.63322297626286,117.92484116508047,29.41885402277534,13906.268163809456,26.120161658037393,0.40920540866193555,87.50317564989095,0.08981552113669865,45,30,5
5,97.98332915862196,117.01352526800687,27.094564718338287,13692.165095646482,24.364863586729115,0.31519528235312433,86.85916446283701,0.08307335495102024,45,30,5
10,99.33535825552538,116.41089304328027,28.08269636145845,13551.49601913404,25.12606024588033,0.291840950623646,96.6995053095894,0.08530717055409906,45,30,5
15,82.0131864045432,110.84163826774922,22.010322070969664,12285.868773878568,22.321846064469376,0.32729007589919434,63.534437052253395,0.07707524312877807,45,30,5
20,85.57601511557297,103.91647524699553,24.4998401143032,10798.633827759435,22.882344910956984,0.3354645526352683,71.34976805787525,0.07112163255764657,45,30,5
25,76.0708718712801,92.14106726605888,22.366869337352817,8489.976276928388,20.4758642963592,0.46630048328993745,70.20585668642227,0.060825887364463455,45,30,5
30,118.08310665963326,195.8960720065294,25.231087168302718,38375.271027587354,26.235542688942736,0.10434462659380173,74.2144346533828,0.1189539825984857,45,30,5
35,141.05758810812992,235.78485144085525,29.508694090018295,55594.496168986174,28.896159440502426,0.18681319641457728,99.27129392940168,0.14614210395888663,45,30,5
40,150.65603092568202,254.19962997540628,28.361704324639124,64617.451879633474,30.29208204578721,0.04204849971562208,101.2995063966876,0.1658832997578531,45,30,5
45,167.37036598060183,273.5577200861246,1463.7229785173593,74833.82621871852,37.06334943262849,-0.03178425462629497,85.36642832839621,1.1427835597996752,45,30,5
