Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,134.27784678141276,187.9085185988844,29.0054854517089,35309.61136202729,32.0095481491567,-0.06560396242532107,102.04353332519531,0.16828516631893126,30,30,2
2,127.02758992513021,158.28662342323045,31.95598218362244,25054.65515472757,32.75102208011288,-0.11451191837895269,112.50408935546875,0.16763299633969994,30,30,2
4,121.9723139444987,159.2954083996368,28.10133908851557,25375.02713720708,31.732482591156234,-0.24333049779804128,97.95269775390625,0.17197641933186264,30,30,2
6,135.4148696899414,164.96229128339596,31.756616503974417,27212.55754546797,33.9854624941497,-0.3217604822567093,127.33251190185547,0.1665013412512917,30,30,2
8,125.26568400065104,165.39044674522583,27.146102492041873,27353.999874585385,31.19049069321817,-0.2422177788693729,80.78146362304688,0.16102418232173832,30,30,2
10,117.722802734375,156.90933884955118,26.344417669520066,24620.54061820327,29.475145360638923,-0.04984337059803523,82.14817810058594,0.14751742800011858,30,30,2
12,116.71741434733073,152.86500588379943,26.564266186631635,23367.710023854037,29.55071349326336,-0.06206538109141557,102.48384094238281,0.13823607383001782,30,30,2
14,106.5968022664388,146.07041232414454,25.743926496897117,21336.565356545594,26.717166469164855,-0.06713441683442034,86.30865478515625,0.1291444565839765,30,30,2
16,95.77727711995443,141.5923972408535,25.496550452951904,20048.406956411658,24.24592889055155,-0.000973996006020883,42.85276794433594,0.11944664119866684,30,30,2
18,108.94542744954427,143.30805540686285,29.47242000536582,20537.19874449647,28.26489706548833,-0.0714696846539884,77.28005981445312,0.13942938682858116,30,30,2
20,121.47305908203126,155.73399877793182,31.068436936900156,24253.078375364872,30.051809168129584,-0.37980154479145267,100.56902313232422,0.13824383260689027,30,30,2
22,99.82418518066406,126.55799780306248,27.83962969607473,16016.926807919966,26.914481613172097,0.10009490663063692,78.92507934570312,0.10367946802448064,30,30,2
24,97.68641815185546,134.3454997335359,27.725428598388785,18048.713298653493,27.189957763112393,0.011746846989853843,62.09417724609375,0.133079860537269,30,30,2
