sku,date,region,order_id,net_revenue,quantity,year,month,day
BE20182,2022-03-01,BE_SHOP_DACH,5,122.8925233445,5,2022,3,1
BE20182,2022-03-02,BE_SHOP_DACH,1,21.607476632,1,2022,3,2
BE20182,2022-03-04,BE_SHOP_DACH,2,53.28207306,2,2022,3,4
BE20182,2022-03-05,BE_SHOP_DACH,4,102.635514002,4,2022,3,5
BE20182,2022-03-09,BE_SHOP_DACH,2,49.9672897115,2,2022,3,9
BE20182,2022-03-10,BE_SHOP_DACH,4,94.532710265,4,2022,3,10
BE20182,2022-03-11,BE_SHOP_DACH,3,79.55480033,3,2022,3,11
BE20182,2022-03-12,BE_SHOP_DACH,3,76.9766355015,3,2022,3,12
BE20182,2022-03-14,BE_SHOP_DACH,2,43.9761257375,2,2022,3,14
BE20182,2022-03-15,BE_SHOP_DACH,3,97.233644844,4,2022,3,15
BE20182,2022-03-16,BE_SHOP_DACH,5,151.252336424,6,2022,3,16
BE20182,2022-03-17,BE_SHOP_DACH,5,122.8925233445,5,2022,3,17
BE20182,2022-03-18,BE_SHOP_DACH,3,74.2757009225,3,2022,3,18
BE20182,2022-03-19,BE_SHOP_DACH,2,49.9672897115,2,2022,3,19
BE20182,2022-03-20,BE_SHOP_DACH,3,149.9018691345,6,2022,3,20
BE20182,2022-03-22,BE_SHOP_DACH,1,23.645454543,1,2022,3,22
BE20182,2022-03-23,BE_SHOP_DACH,4,180.1253270815,10,2022,3,23
BE20182,2022-03-25,BE_SHOP_DACH,4,120.363466423,5,2022,3,25
BE20182,2022-03-28,BE_SHOP_DACH,3,103.9859812915,4,2022,3,28
BE20182,2022-03-30,BE_SHOP_DACH,4,124.8568394035,5,2022,3,30
BE20182,2022-04-01,BE_SHOP_DACH,4,116.140186897,5,2022,4,1
BE20182,2022-04-02,BE_SHOP_DACH,5,174.897790967,8,2022,4,2
BE20182,2022-04-03,BE_SHOP_DACH,4,208.741728949999,8,2022,4,3
BE20182,2022-04-05,BE_SHOP_DACH,3,94.532710265,4,2022,4,5
BE20182,2022-04-06,BE_SHOP_DACH,4,87.7803738175,4,2022,4,6
BE20182,2022-04-08,BE_SHOP_DACH,4,133.57349191,5,2022,4,8
BE20182,2022-04-09,BE_SHOP_DACH,4,122.8925233445,5,2022,4,9
BE20182,2022-04-11,BE_SHOP_DACH,47,1396.904948804,68,2022,4,11
BE20182,2022-04-12,BE_SHOP_DACH,42,1391.1470473805,68,2022,4,12
BE20182,2022-04-14,BE_SHOP_DACH,3,130.6761257315,6,2022,4,14
BE20182,2022-04-15,BE_SHOP_DACH,2,54.01869158,2,2022,4,15
BE20182,2022-04-16,BE_SHOP_DACH,1,24.308411211,1,2022,4,16
