Data_id,number_of_records_daily,number_of_records_2023_daily,number_of_records_2022_daily,number_of_records_2021_daily,Number_of_missing_records_daily,starting_date,Ending_date,total_records_should_be
BE20196_BE_SHOP_DACH,437,173,264,0,152,2022-01-03,2023-08-14,589
BE20222_BE_SHOP_INT,329,146,183,0,193,2022-03-10,2023-08-13,522
BE20090_BE_SHOP_DACH,323,170,153,0,242,2022-01-27,2023-08-14,565
BE20198_BE_SHOP_DACH,290,61,229,0,283,2022-01-03,2023-07-29,573
BE20191_BE_SHOP_INT,223,75,148,0,311,2022-01-03,2023-06-20,534
BE20198_BE_SHOP_INT,221,117,104,0,358,2022-01-06,2023-08-07,579
BE20263_BE_SHOP_DACH,196,158,38,0,108,2022-10-15,2023-08-14,304
BE20209_BE_SHOP_DACH,191,110,81,0,267,2022-05-13,2023-08-13,458
BE20182_BE_SHOP_DACH,188,20,168,0,235,2022-03-01,2023-04-27,423
BE20182_BE_SHOP_INT,186,77,109,0,128,2022-06-18,2023-04-27,314
BE20320_BE_SHOP_INT,171,139,32,0,98,2022-11-19,2023-08-14,269
BE20206_BE_SHOP_DACH,164,121,43,0,192,2022-08-10,2023-07-31,356
BE20196_BE_SHOP_INT,147,46,101,0,441,2022-01-04,2023-08-14,588
BE20288_BE_SHOP_INT,139,139,0,0,86,2023-01-02,2023-08-14,225
BE20090_BE_SHOP_INT,125,49,76,0,422,2022-01-31,2023-07-31,547
BE20207_BE_SHOP_DACH,114,53,61,0,281,2022-05-12,2023-06-10,395
BE20293_BE_SHOP_DACH,110,74,36,0,188,2022-10-21,2023-08-14,298
BE20044_BE_SHOP_DACH,102,25,77,0,300,2022-03-29,2023-05-04,402
BE20191_BE_SHOP_DACH,89,35,54,0,439,2022-01-10,2023-06-21,528
BE20319_BE_SHOP_DACH,84,84,0,0,57,2023-03-27,2023-08-14,141
BE20223_BE_SHOP_DACH,84,36,48,0,403,2022-04-03,2023-08-02,487
BE20223_BE_SHOP_INT,80,39,41,0,260,2022-09-03,2023-08-08,340
BE20222_BE_SHOP_DACH,77,39,38,0,443,2022-03-08,2023-08-09,520
BE20263_BE_SHOP_INT,55,28,27,0,222,2022-10-28,2023-07-31,277
BE20320_BE_SHOP_DACH,51,31,20,0,136,2022-11-17,2023-05-22,187
BE20288_BE_SHOP_DACH,47,47,0,0,178,2023-01-02,2023-08-14,225
BE20209_BE_SHOP_INT,43,12,31,0,401,2022-05-13,2023-07-30,444
BE20293_BE_SHOP_INT,41,35,6,0,234,2022-11-06,2023-08-07,275
BE20335_BE_SHOP_INT,41,41,0,0,38,2023-05-28,2023-08-14,79
BE20207_BE_SHOP_INT,33,11,22,0,354,2022-05-14,2023-06-04,387
BE20319_BE_SHOP_INT,31,31,0,0,94,2023-03-21,2023-07-23,125
BE20335_BE_SHOP_DACH,31,31,0,0,45,2023-05-30,2023-08-13,76
BE20313_BE_SHOP_INT,23,23,0,0,109,2023-04-04,2023-08-13,132
BE20206_BE_SHOP_INT,23,4,19,0,402,2022-05-14,2023-07-12,425
BE20313_BE_SHOP_DACH,12,12,0,0,154,2023-02-28,2023-08-12,166
